file	md5	size	date	code	spcode	filt_flag
/SO2GameSvrD	1fa816e148952580ebe5df42107bcb0b	116524155	2016-07-28 16:07:56	e87f05caab88ca7a935bbda47337f982	b4d99fc87d3771408c3350a86561eba6	3
/SO2GameSvrD1	1fa816e148952580ebe5df42107bcb0b	116524155	2016-07-28 16:07:56	e87f05caab88ca7a935bbda47337f982	dd62ed1aa8b8e11dcc9d9ceca88df1c9	2
/SO2GameSvrD10	1fa816e148952580ebe5df42107bcb0b	116524155	2016-07-28 16:07:56	e87f05caab88ca7a935bbda47337f982	8579be3982245418e3688b10f1c1b171	2
/SO2GameSvrD2	1fa816e148952580ebe5df42107bcb0b	116524155	2016-07-28 16:07:56	e87f05caab88ca7a935bbda47337f982	bea543f6f8d71d7518ab96e3e5cf13d3	2
/SO2GameSvrD3	1fa816e148952580ebe5df42107bcb0b	116524155	2016-07-28 16:07:56	e87f05caab88ca7a935bbda47337f982	6bd7fb26125194b16ab842647fbc350b	2
/SO2GameSvrD4	1fa816e148952580ebe5df42107bcb0b	116524155	2016-07-28 16:07:56	e87f05caab88ca7a935bbda47337f982	6131c3134dc17ecefd9b2e5bdf86a85d	2
/SO2GameSvrD5	1fa816e148952580ebe5df42107bcb0b	116524155	2016-07-28 16:07:56	e87f05caab88ca7a935bbda47337f982	afe4a125c3b9b6accb05ca2f92230254	2
/SO2GameSvrD6	1fa816e148952580ebe5df42107bcb0b	116524155	2016-07-28 16:07:56	e87f05caab88ca7a935bbda47337f982	93fbb84248cf503b4d2e939e8b4dd1dd	2
/SO2GameSvrD7	1fa816e148952580ebe5df42107bcb0b	116524155	2016-07-28 16:07:56	e87f05caab88ca7a935bbda47337f982	e483073899fc61695f220e9187b8f102	2
/SO2GameSvrD8	1fa816e148952580ebe5df42107bcb0b	116524155	2016-07-28 16:07:56	e87f05caab88ca7a935bbda47337f982	cb0649be66f2c7246f6cc4e5af9c3491	2
/SO2GameSvrD9	1fa816e148952580ebe5df42107bcb0b	116524155	2016-07-28 16:07:56	e87f05caab88ca7a935bbda47337f982	d6af9a1ff4c168b9ac69dc048ae5b5cd	2
/data/maps_s.pak	b87fe02520acd0a9a50114864ee7c8a6	25815199	2016-07-08 14:56:15	697be253bf7e7382ea6cd59952842798		0
/data/maps_s.pak.txt		0	2013-11-27 17:51:02		4b88e3d429e7816f2ea7ce8d60df69ed	1
/data/settings_s.pak	da24690ef5b9871f97d4566facd06df0	2802085	2016-07-28 16:07:56	468234b55595a8f727bc7e6e6686b0fa		0
/data/settings_s.pak.txt	676866b1fb072128fff57243d3491e28	142000	2016-07-28 16:07:56	29e6ebaa2238b6e3923b049aa71c2098		0
/maps		0	2013-11-27 17:51:02		aee2fc161d8aa27a09a9af773f9bce81	2
/maps/god_power.ini	3ca49c05ce8217ddbdb467283e68ca0a	10660	2013-11-25 15:15:31	b8237e51df0276aa979e4930ad195578		0
/maps/map_list.ini	ffc1e6d9a2f42363734259ffc4e49b70	44340	2016-07-01 19:54:22	0194bf8cd62e1c613500d2a1d27ec0b9	2bedcc53b871ad3e6f80e08cc65b0325	1
/maps/worldset_1.ini	3f2197d828371496b581305dce3dcdc6	1853	2013-11-25 15:15:31	c86dd9a41fb18b8029cb946300618b21		0
/maps/worldset_10.ini	bc785c61e55c1887c45824d491de04d4	5559	2013-11-25 15:15:31	5ec8e856c235321f288bc11a6b2c3b6e		0
/maps/worldset_2.ini	26b80ec09a58336845a77e1ecab5a7bc	1842	2013-11-25 15:15:31	35f18360ef7e61acaf234ac2a4ed3bd6		0
/maps/worldset_4.ini	e9018b62895cab69cef5997f2cffad96	1873	2016-07-01 19:54:22	c69a60407d1edc501331bb87b672659a		0
/maps/worldset_5.ini	16ec65fd78e24e02fc169d81707b8883	7805	2016-07-01 19:54:22	4599040cb2fcb5306e3496d0d86dd736	83be749daeaa4ea5e3e1af0bb771892f	1
/maps/worldset_6.ini	9ebd2b53d602d50ddc02c66fc7cdffb4	5518	2013-11-25 15:15:31	4d590165fdef5282bcbd6afe0c6cf57b		0
/maps/worldset_7.ini	625b5e6890850bf907e765b8bea20174	6708	2013-11-25 15:15:31	9d56bf2cb7aa29b5495d57f0cad53fcf		0
/script		0	2014-05-06 14:16:05		76cd54cab292bdf116bd0b710cf056fe	1
/script/SCRIPT_RULE(IMPORTANT).txt	1e595c21ee464b12784cfade6d667526	11254	2014-03-20 11:12:10	28eac5a202d294f0cf5c91ad80452f08	f2db614b50017fdfae564d149a8fb850	1
/script/battles/battlehead.lua	d35ae7cf61174f31ec2946b7ed8c60b8	23916	2013-11-25 15:15:31	5dc2bdca795856726dcf63e0ed514c09		0
/script/battles/battleinfo.lua	1fcc239bbba4838580a4d97baa58a645	4104	2013-11-25 15:15:31	f9753b1a703dde91a0588cdaa160078b		0
/script/battles/battlejoin.lua	bfb4b66e34823afc3d6ba317f00934a6	7165	2013-11-25 15:15:31	3416a16bc4dfc2c3091973653d68d5c5		0
/script/battles/battlejoin1.lua	4767100b22f62a018984e1c5568d9bd5	157	2013-11-25 15:15:31	231e6688add8c44da9311f15dc5324c8		0
/script/battles/battlejoin2.lua	2405cac78bef913acd7279e727922369	155	2013-11-25 15:15:31	f1ee3f675e543a79ea47d6ecb8436254		0
/script/battles/battlemain.lua	884eaf3dd3ce071aff2d7b363fddb3a1	7576	2013-11-25 15:15:31	fa947f11af65b3477bd6da114f04ad3d		0
/script/battles/butcher/centertrap.lua	d55e7863d377385a4152334bc4e53d47	1109	2013-11-25 15:15:31	59c37b0e1a66c3e2e955708d7539e244		0
/script/battles/butcher/doctor.lua	61c9d9e71c7497000c509ac545319ae4	520	2013-11-25 15:15:31	6247fbba672c05fb937f94461a507f3a		0
/script/battles/butcher/head.lua	4c0cf977039aedf9cb10cd67da1c92c4	27573	2013-11-25 15:15:31	077871c41507adf9aa812e56f780ff53		0
/script/battles/butcher/home2fronttrap1.lua	958e4982378091f532b659b3189365d0	1103	2013-11-25 15:15:31	1ea7cb90e59970b1602aae6a81850f17		0
/script/battles/butcher/home2fronttrap2.lua	f219cd7a9156e3bc6ff37682bab502bd	1103	2013-11-25 15:15:31	aa75bb484617df232d4be71b0da5e2e6		0
/script/battles/butcher/homeouttrap1.lua	35779dd0ed1c2d7491dd9907f7507e86	623	2013-11-25 15:15:31	36091eee1733d8ec1f7214ab2b7312cc		0
/script/battles/butcher/homeouttrap2.lua	b5615e421763c21f2f7cbd9df20264af	629	2013-11-25 15:15:31	59b5e3fd529faa325b8201b86d740a8b		0
/script/battles/butcher/hometrap1.lua	52274f78666de998a1d0cf8131083f59	1429	2013-11-25 15:15:31	3b0a7e26255a87d63adc16114653b4b9		0
/script/battles/butcher/hometrap2.lua	ba4531d0769597dfc3d4756d5307773d	1410	2013-11-25 15:15:31	72e095fd3889dedec7b7dab7b52e32bf		0
/script/battles/butcher/mission.lua	35676130804cced282aa5a112966c67e	2370	2013-11-25 15:15:31	e228b58fd0333cbbc8fb098b61a8c9ce		0
/script/battles/butcher/playerdeath.lua	b4f12ea7d72622da8e298b552d7f5a5c	3170	2013-11-25 15:15:31	016b80d48ac0e8a173aede75f3a90e7a		0
/script/battles/butcher/smalltimer.lua	a827f7b6f5f8e14eac1aacbabc903c8c	4204	2013-11-25 15:15:31	06d0e49690b44f620cbb35218fa4c0ad		0
/script/battles/butcher/totaltimer.lua	5a087e9cee9a3161fc8277e5ce05e114	174	2013-11-25 15:15:31	cd823791075cea5694ab609b49202446		0
/script/battles/emulation_battle.lua	94eca74de82ae5226205ef5c2868c2a7	4954	2013-11-25 15:15:31	1c54a86796ab9d0bb977b44f5c0f531f		0
/script/battles/openbox.lua	26f326188fb55a4bfa5606094b880e9b	134	2013-11-25 15:15:31	6404b25b0a2c2e76871e3ab706e6a884		0
/script/biwudahui/npc/npc_itemkeeper.lua	b9f3f816d50d2078932538b58a3c6f5e	3388	2014-07-07 18:03:43	008083fd0a545e4e7829207a141138c1		0
/script/biwudahui/tournament/callback_function.lua	89b59fd7a89382c5e9f01ac72550d68a	9011	2014-11-12 15:48:15	825d4db7feda2b4f4b673dce4c83460f		0
/script/biwudahui/tournament/death_player.lua	114ab0991e96d78cbb39270317c324aa	390	2013-11-25 15:15:31	e6c43b1c7ecd6357ca8de682e9b59197		0
/script/biwudahui/tournament/item/item_box.lua	796dda602a8a2373ef05c6377a1035fc	19681	2016-04-12 09:38:03	232e7c6a4846d5d49c4c2acde4b1f9d6		0
/script/biwudahui/tournament/mission/mission.lua	e84733087c3739b3d7d71d5e71157060	460	2013-11-25 15:15:31	714514506481eca2e8419881de4a3c38		0
/script/biwudahui/tournament/mission/mission_head.lua	3da53c2cd09dd19a5460555e484ca3f2	12292	2014-12-12 16:00:52	5a4840fdb89f171cafa453957401fbf7		0
/script/biwudahui/tournament/mission/timer.lua	cc025efe9f3015006a06edc8755dec71	571	2013-11-25 15:15:31	c26f05e12751d72c62ddb49b86ea9b4f		0
/script/biwudahui/tournament/npc/npc_field_keeper.lua	2291a1235587889c7fd5deb53234805a	6056	2014-07-07 18:03:43	d0ba8578ed1258e032a668d0c303a845		0
/script/biwudahui/tournament/npc/npc_zhenzidan.lua	0aec9de3874ebec5004304efb79e7989	66741	2016-04-12 09:38:03	6d88f2816b488693266db5c6f01cc7ab		0
/script/biwudahui/tournament/tournament_function.lua	fdb8a8206a0c359ae9857e7cb168ea98	86226	2016-07-28 11:44:01	e6701f1ad962740c1bcbec2e9c9fb820		0
/script/biwudahui/tournament/tournament_head.lua	b3b50628756df22b197c13d3f5b5c6a2	29173	2014-07-14 18:11:04	68972827454090b51f34d6cd4af557f7		0
/script/biwudahui/wlzb_award.lua	fa753042519fc7bed19917a32ec8ab04	7901	2014-07-07 18:03:43	b7a0628375ce3a58327c29db7733b39d		0
/script/caiji/一些巴豆.lua	f9bc19b26907f434b18f58cd3b1a9c67	3396	2013-11-25 15:15:31	be7b729ed05f23604e234b4d5032ca23		0
/script/caiji/一些桔梗.lua	6d56276178c43a3a1f0542e9165ca8b5	3401	2013-11-25 15:15:31	fbf82b3b36fc9775a67ccd5ae9e7b14c		0
/script/caiji/一些田七.lua	3f10d74b2955ce59ec768c526f5fcfc5	3405	2013-11-25 15:15:31	d5a788ad08f127b967cc0ee5d73f021c		0
/script/caiji/一些穿山甲.lua	af128b1fae95402b2a9ebd609e3cea4e	3408	2013-11-25 15:15:31	189049b5f522f58a0e652a0c9d418120		0
/script/caiji/一些藏红花.lua	9dde9d78c31168e3e4ed7fc84eec9153	3411	2013-11-25 15:15:31	e188b95135668b75c45cac70e299631e		0
/script/caiji/一些蝉蜕.lua	7c6962a247f84135523a641b7a87f4af	3397	2013-11-25 15:15:31	6e768e9e583690cb99ce82c17ccb5f47		0
/script/caiji/一些麝香.lua	efa03a235ebbafb8d573709b79f280c3	3401	2013-11-25 15:15:31	ed14b94774a3696e49c4464721b4d8a7		0
/script/caiji/一些黄连.lua	1f4d21779b86e51b2cd67b637f732286	3405	2013-11-25 15:15:31	995a3150d1477b9be6c7b3e637f75c3f		0
/script/caiji/一堆乌金石.lua	36de16e8331333473996b5b3b26f37f0	3456	2013-11-25 15:15:31	db7e6b9348754f2578e066effb7cbe55		0
/script/caiji/一堆天青石.lua	c7ee67fd34e2fd454b232bb7a30aefc6	3472	2013-11-25 15:15:31	848bd0af0012153e758211556f023b94		0
/script/caiji/一堆太白精金.lua	bb93a87556bed0783d9dd87ede2fbe2e	3465	2013-11-25 15:15:31	964b2f87b2e439f60f1f8a608288d7a8		0
/script/caiji/一堆寒铁.lua	45c1750fdd93a9e92365f93b5c417d03	3447	2013-11-25 15:15:31	056cc390b5bd50307a01d3d44c6bc16e		0
/script/caiji/一堆杉木.lua	022e6a32735bf9e75a82463e6cb70765	3423	2013-11-25 15:15:31	1d9a1699b108e8051eab319f6eb223cf		0
/script/caiji/一堆杨木.lua	d2380c19b7a03e2b2a883e2ef0018231	3427	2013-11-25 15:15:31	25e88d46755ca087a1d0fdd62ea1b7a4		0
/script/caiji/一堆松木.lua	715fce8d65b27b7072a0b1fe94c74fb0	3424	2013-11-25 15:15:31	165ebc26ac48d919a4e19ddeeb52782f		0
/script/caiji/一堆梧桐木.lua	cf9c036fe40305b370a59aff2cf8d4da	3428	2013-11-25 15:15:31	192e714263f47ae007a9dc5cd0b8e87c		0
/script/caiji/一堆玄铁.lua	484a1f37c9a537445f50c1cb6d29ef68	3459	2013-11-25 15:15:31	eb6391aa14ba99c180f9f2f52429ac79		0
/script/caiji/一堆百炼钢.lua	9b447e15c57f0e6899d17cfa10c5c756	3464	2013-11-25 15:15:31	007d6a4ccd10690a7f9d532f9d396b6f		0
/script/caiji/一堆精铁.lua	c4c3d7af8f397347e84eef36be8c967f	3453	2013-11-25 15:15:31	42aed1f9497493f48089de9000ae9938		0
/script/caiji/一堆重木.lua	129900215bca34c8c0da9602ec0313b0	3429	2013-11-25 15:15:31	3c70cdd2845b0ad842b89e27df7ee06a		0
/script/caiji/一堆铁木.lua	6d25d96f3f57281b035686e206a7867b	3422	2013-11-25 15:15:31	72bf817c104932a3d10750f21a1770cf		0
